 

stn    time           tre200h0  rre150h0  rre024i0
BUF    2019012202        -22.8       0.0       0.0
BUF    2019012203        -22.8       0.0       0.0
BUF    2019012204        -23.4       0.0       0.0
BUF    2019012205        -23.5       0.0       0.0
BUF    2019012206        -24.0       0.0       0.0
BUF    2019012207        -23.9       0.0       0.0
BUF    2019012208        -23.6       0.0       0.0
BUF    2019012209        -21.6       0.0       0.0
BUF    2019012210        -17.6       0.0       0.0
BUF    2019012211        -13.5       0.0       0.0
BUF    2019012212         -9.3       0.0       0.0
BUF    2019012213         -6.6       0.0       0.0
BUF    2019012214         -6.5       0.0       0.0
BUF    2019012215        -10.0       0.0       0.0
BUF    2019012216        -14.1       0.0       0.0
BUF    2019012217        -16.6       0.0       0.0
BUF    2019012218        -18.4       0.0       0.0
BUF    2019012219        -19.1       0.0       0.0
BUF    2019012220        -19.2       0.0       0.0
BUF    2019012221        -18.8       0.0       0.0
BUF    2019012222        -17.7       0.0       0.0
BUF    2019012223        -17.3       0.0       0.0
BUF    2019012300        -16.5       0.0       0.0
BUF    2019012301        -16.1       0.0       0.0
BUF    2019012302        -16.0       0.0       0.0
BUF    2019012303        -17.9       0.0       0.0
BUF    2019012304        -17.0       0.0       0.0
BUF    2019012305        -15.9       0.0       0.0
BUF    2019012306        -15.9       0.0       0.0
BUF    2019012307        -16.0       0.0       0.0
BUF    2019012308        -15.6       0.0       0.0
BUF    2019012309        -13.1       0.0       0.0
BUF    2019012310        -10.2       0.0       0.0
BUF    2019012311         -7.9       0.0       0.0
BUF    2019012312         -7.2       0.0       0.0
BUF    2019012313         -7.5       0.0       0.0
BUF    2019012314         -7.7       0.0       0.0
BUF    2019012315         -8.7       0.0       0.0
BUF    2019012316        -10.2       0.0       0.0
BUF    2019012317        -11.6       0.0       0.0
BUF    2019012318        -13.2       0.0       0.0
BUF    2019012319        -15.7       0.0       0.0
BUF    2019012320        -17.8       0.0       0.0
BUF    2019012321        -19.7       0.0       0.0
BUF    2019012322        -20.7       0.0       0.0
BUF    2019012323        -21.5       0.0       0.0
BUF    2019012400        -21.8       0.0       0.0
BUF    2019012401        -21.9       0.0       0.0
BUF    2019012402        -22.2       0.0       0.0
BUF    2019012403        -22.4       0.0       0.0
BUF    2019012404        -22.7       0.0       0.0
BUF    2019012405        -23.2       0.0       0.0
BUF    2019012406        -23.6       0.0       0.0
BUF    2019012407        -23.3       0.0       0.0
BUF    2019012408        -23.4       0.0       0.0
BUF    2019012409        -20.9       0.0       0.0
BUF    2019012410        -17.0       0.0       0.0
BUF    2019012411        -10.9       0.0       0.0
BUF    2019012412         -8.9       0.0       0.0
BUF    2019012413         -8.1       0.0       0.0
BUF    2019012414         -7.8       0.0       0.0
BUF    2019012415        -11.4       0.0       0.0
BUF    2019012416        -14.5       0.0       0.0
BUF    2019012417        -18.0       0.0       0.0
BUF    2019012418        -19.9       0.0       0.0
BUF    2019012419        -21.3       0.0       0.0
BUF    2019012420        -22.0       0.0       0.0
BUF    2019012421        -22.3       0.0       0.0
BUF    2019012422        -23.2       0.0       0.0
BUF    2019012423        -23.7       0.0       0.0
BUF    2019012500        -23.9       0.0       0.0
BUF    2019012501        -24.8       0.0       0.0
BUF    2019012502        -25.1       0.0       0.0
BUF    2019012503        -25.4       0.0       0.0
BUF    2019012504        -25.5       0.0       0.0
BUF    2019012505        -25.9       0.0       0.0
BUF    2019012506        -26.1       0.0       0.0
BUF    2019012507        -26.1       0.0       0.0
BUF    2019012508        -25.1       0.0       0.0
BUF    2019012509        -22.5       0.0       0.0
BUF    2019012510        -17.6       0.0       0.0
BUF    2019012511        -10.7       0.0       0.0
BUF    2019012512         -9.3       0.0       0.0
BUF    2019012513         -8.6       0.0       0.0
BUF    2019012514         -8.5       0.0       0.0
BUF    2019012515        -10.1       0.0       0.0
BUF    2019012516        -14.5       0.0       0.0
BUF    2019012517        -19.0       0.0       0.0
BUF    2019012518        -21.4       0.0       0.0
BUF    2019012519        -22.3       0.0       0.0
BUF    2019012520        -23.0       0.0       0.0
BUF    2019012521        -23.2       0.0       0.0
BUF    2019012522        -22.8       0.0       0.0
BUF    2019012523        -20.8       0.0       0.0
BUF    2019012600        -19.4       0.0       0.0
BUF    2019012601        -18.0       0.0       0.0
BUF    2019012602        -15.0       0.0       0.0
BUF    2019012603        -13.7       0.0       0.0
BUF    2019012604        -12.8       0.1       0.1
BUF    2019012605        -12.6       0.0       0.1
BUF    2019012606        -12.9       0.0       0.1
BUF    2019012607        -12.3       0.0       0.1
BUF    2019012608        -11.6       0.0       0.1
BUF    2019012609         -8.7       0.0       0.1
BUF    2019012610         -3.5       0.0       0.1
BUF    2019012611         -0.8       0.0       0.1
BUF    2019012612          0.3       0.0       0.1
BUF    2019012613          0.8       0.0       0.1
BUF    2019012614          0.2       0.0       0.1
BUF    2019012615         -1.0       0.0       0.1
BUF    2019012616         -3.5       0.0       0.1
BUF    2019012617         -6.2       0.0       0.1
BUF    2019012618         -9.4       0.0       0.1
BUF    2019012619        -11.7       0.0       0.1
BUF    2019012620        -12.9       0.0       0.1
BUF    2019012621        -13.3       0.0       0.1
BUF    2019012622        -13.7       0.0       0.1
BUF    2019012623        -13.5       0.0       0.1
BUF    2019012700        -13.5       0.0       0.1
BUF    2019012701        -13.5       0.0       0.1
BUF    2019012702        -13.4       0.0       0.1
BUF    2019012703        -13.3       0.0       0.1
BUF    2019012704        -13.1       0.0       0.0
BUF    2019012705        -12.9       0.0       0.0
BUF    2019012706        -12.9       0.0       0.0
BUF    2019012707        -13.2       0.0       0.0
