Longitude,Latitude,Time,elevation
10.1282343000662,46.7626795131057,2020-02-19T12:00:42Z,1622
10.1281211282187,46.763006568057,2020-02-19T13:00:17Z,1583
10.1281464204952,46.7626016197152,2020-02-19T14:00:42Z,1627
10.1282402789674,46.7626774936369,2020-02-19T15:00:18Z,1622
10.125551864145,46.7629874643146,2020-02-19T16:00:42Z,1568
10.123743126922,46.76349860601,2020-02-19T17:00:17Z,1551
10.1194722459939,46.7670298438937,2020-02-19T18:01:09Z,1404
10.1227070857545,46.770604892553,2020-02-19T19:00:43Z,1402
10.1248097128276,46.7701956839341,2020-02-19T20:00:42Z,1423
10.1242146845638,46.7703284583259,2020-02-19T21:00:11Z,1420
10.1233182326991,46.7700044288091,2020-02-19T22:00:35Z,1383
10.1231613070677,46.7699317202127,2020-02-19T23:00:19Z,1383
10.1186206177616,46.770263296772,2020-02-20T00:00:42Z,1441
10.1162841976488,46.7706133948807,2020-02-20T01:00:11Z,1446
10.1197241404174,46.7703870417431,2020-02-20T02:00:11Z,1432
10.1227975401028,46.7641266269427,2020-02-20T03:00:42Z,1529
10.1235011039889,46.7632503884706,2020-02-20T04:00:41Z,1551
10.123648804465,46.763112490038,2020-02-20T05:00:42Z,1551
10.1239948143337,46.7632496534277,2020-02-20T06:00:42Z,1551
10.124853866655,46.7639041436405,2020-02-20T07:00:42Z,1529
10.1272478500843,46.7629149165136,2020-02-20T08:00:15Z,1627
10.1272589024064,46.7631682686725,2020-02-20T09:00:42Z,1584
10.1272740868016,46.7631304428454,2020-02-20T10:00:17Z,1584
10.1273495381835,46.7629760640135,2020-02-20T11:00:42Z,1584
10.1274388142982,46.762787992312,2020-02-20T12:00:16Z,1627
10.1273568950146,46.7629468042778,2020-02-20T13:00:55Z,1627
10.1273444825167,46.7630302551473,2020-02-20T14:00:42Z,1584
10.1272924962644,46.7632929297353,2020-02-20T15:00:12Z,1584
10.12590984671,46.76340550461,2020-02-20T16:00:42Z,1576
10.1238986478384,46.763598562628,2020-02-20T17:00:12Z,1528
10.1238185841489,46.7633396075919,2020-02-20T18:00:38Z,1551
10.1239336166234,46.7633201942394,2020-02-20T19:00:42Z,1551
10.1240201194921,46.7633760468434,2020-02-20T20:00:42Z,1551
10.1226429613271,46.7637307695695,2020-02-20T21:00:18Z,1529
10.1225500104047,46.7635653735422,2020-02-20T22:00:42Z,1529
10.1219983651766,46.7629698657064,2020-02-20T23:00:42Z,1553
10.1223144674725,46.7630047038523,2020-02-21T00:00:42Z,1554
10.122194383046,46.7629535584577,2020-02-21T01:00:42Z,1573
10.1223779674954,46.7628235637366,2020-02-21T02:00:14Z,1574
10.1223172336676,46.7629070998236,2020-02-21T03:00:42Z,1574
10.1220651162076,46.7625916938411,2020-02-21T04:00:14Z,1573
10.1237712177026,46.7623938714706,2020-02-21T05:00:41Z,1575
10.1248989467561,46.7620758585431,2020-02-21T06:00:17Z,1633
10.1283437457497,46.7621730451966,2020-02-21T07:00:42Z,1666
10.1282797827986,46.7622164461874,2020-02-21T08:00:42Z,1666
10.1283451217844,46.7621150033054,2020-02-21T09:00:42Z,1666
10.1283083240466,46.7623275292646,2020-02-21T10:00:16Z,1666
10.1283630579063,46.7620719829015,2020-02-21T11:00:36Z,1666
10.1284449079163,46.7623336453128,2020-02-21T12:00:25Z,1666
10.1283451217844,46.7621088427668,2020-02-21T13:00:42Z,1666
10.1281900547261,46.7619418040643,2020-02-21T14:00:16Z,1666
10.1284247196303,46.7621268611105,2020-02-21T15:00:36Z,1666
10.1264605267528,46.7618450463129,2020-02-21T16:00:16Z,1665
10.1262410434273,46.7616144704845,2020-02-21T17:00:47Z,1691
10.1273176718592,46.7615527359198,2020-02-21T18:01:12Z,1702
10.1248998687637,46.7623205377892,2020-02-21T19:00:42Z,1633
10.1249219541432,46.7622835791055,2020-02-21T20:00:41Z,1633
10.1225288851969,46.7629414260534,2020-02-21T21:00:42Z,1574
10.1191333373309,46.7692521913988,2020-02-21T22:00:08Z,1398
10.1187370245588,46.7705262082611,2020-02-21T23:00:09Z,1438
10.1153076636636,46.7706094144841,2020-02-22T00:00:41Z,1444
10.1178322971701,46.7703948261783,2020-02-22T01:00:08Z,1443
10.1196795301444,46.7699967065668,2020-02-22T02:00:42Z,1411
10.1173086316923,46.7666300590101,2020-02-22T03:00:09Z,1403
10.1161347773127,46.7665263880153,2020-02-22T04:00:42Z,1398
10.113741122828,46.7641825021581,2020-02-22T05:00:09Z,1432
10.1145615099458,46.7622200748349,2020-02-22T06:01:42Z,1491
10.1185418035241,46.7606402927077,2020-02-22T07:00:23Z,1589
10.1183604901326,46.7607412951963,2020-02-22T08:00:42Z,1589
10.1182896543508,46.7606975783858,2020-02-22T09:00:42Z,1589
10.1182919533998,46.7607471534035,2020-02-22T10:00:08Z,1589
10.1183457843166,46.7606997129715,2020-02-22T11:00:42Z,1589
10.1182707855555,46.7607253900728,2020-02-22T12:00:14Z,1589
10.1189880328183,46.7613109594721,2020-02-22T13:00:42Z,1579
10.1189889451248,46.7611906304152,2020-02-22T14:00:21Z,1602
10.1192019718166,46.76114843709,2020-02-22T15:01:00Z,1602
10.1197181743027,46.7615626952337,2020-02-22T16:00:20Z,1591
10.1206038133103,46.7622424345061,2020-02-22T17:00:42Z,1582
10.1213763607493,46.7620048102995,2020-02-22T18:00:42Z,1589
10.1232190587977,46.7630929323016,2020-02-22T19:00:10Z,1552
10.1233525018985,46.7628401974573,2020-02-22T20:00:42Z,1573
10.1234270381442,46.7628692862924,2020-02-22T21:00:42Z,1573
10.1234735154454,46.7627510001667,2020-02-22T22:00:10Z,1575
10.1237413011033,46.7627689749031,2020-02-22T23:00:42Z,1575
10.1237707494379,46.7627520419922,2020-02-23T00:00:42Z,1575
10.123736700365,46.7627006303064,2020-02-23T01:00:09Z,1575
10.1240159931225,46.7627739601957,2020-02-23T02:00:12Z,1575
10.12376983046,46.7627429944926,2020-02-23T03:00:42Z,1575
10.1237804133358,46.7626922692426,2020-02-23T04:00:09Z,1575
10.12376522972,46.7627116133289,2020-02-23T05:00:14Z,1575
10.1240247330523,46.762718996298,2020-02-23T06:01:06Z,1575
10.1266648434722,46.7623798861165,2020-02-23T07:00:20Z,1624
10.1274948579896,46.7620123844572,2020-02-23T08:00:42Z,1669
10.1275680240606,46.7623582542805,2020-02-23T09:00:42Z,1671
10.1274654141365,46.7623003818058,2020-02-23T10:00:16Z,1669
10.1275519158095,46.762239180979,2020-02-23T11:00:36Z,1669
10.1275822838474,46.7623791469632,2020-02-23T12:00:15Z,1627
10.1288838949368,46.7619923972209,2020-02-23T13:00:41Z,1650
10.1288020226404,46.7622466852876,2020-02-23T14:00:36Z,1650
10.1289359026619,46.7620639233757,2020-02-23T15:00:42Z,1650
10.1284786014479,46.7625322014518,2020-02-23T16:00:16Z,1622
10.1245267151162,46.7638007736638,2020-02-23T17:00:32Z,1527
10.1238807064627,46.7633381813575,2020-02-23T18:00:43Z,1551
10.1239823882648,46.7634624765549,2020-02-23T19:00:43Z,1551
10.1239363790793,46.763247231626,2020-02-23T20:00:42Z,1551
10.124038985063,46.7632927884903,2020-02-23T21:00:14Z,1553
10.1234780927979,46.7633784049879,2020-02-23T22:00:42Z,1551
10.1178838472823,46.7666516045638,2020-02-23T23:00:13Z,1407
10.1167698899338,46.7688525395231,2020-02-24T00:00:42Z,1407
10.1167054630154,46.7687843740625,2020-02-24T01:00:11Z,1390
10.1138653613152,46.7681115106377,2020-02-24T02:00:15Z,1388
10.1149466297506,46.7689098836508,2020-02-24T03:00:42Z,1404
10.1162060980148,46.7664783822283,2020-02-24T04:00:12Z,1412
10.116299499264,46.7665227905917,2020-02-24T05:00:41Z,1398
10.1143082460539,46.7649087951079,2020-02-24T06:01:19Z,1430
10.1169391133076,46.7641953292637,2020-02-24T07:00:42Z,1486
10.1169437111662,46.7642759945372,2020-02-24T08:00:10Z,1486
10.116950178275,46.7641822399562,2020-02-24T09:00:43Z,1486
10.1171848685015,46.7640823995115,2020-02-24T10:00:26Z,1512
10.1168935644098,46.7642102338676,2020-02-24T11:00:42Z,1486
10.1169096568526,46.7642430639493,2020-02-24T12:00:09Z,1486
10.116977765441,46.7640378645347,2020-02-24T13:01:14Z,1512
10.1165232404563,46.763744702672,2020-02-24T14:00:43Z,1510
10.1164210242226,46.7639000318443,2020-02-24T15:00:08Z,1510
10.1160300175901,46.7634565342621,2020-02-24T16:00:42Z,1517
10.1179008155775,46.7640160205262,2020-02-24T17:00:42Z,1510
10.1171093842299,46.7639903546175,2020-02-24T18:00:59Z,1512
10.1153603561948,46.766313107514,2020-02-24T19:00:42Z,1410
10.1168456091428,46.7708134078643,2020-02-24T20:00:42Z,1465
10.1155340422805,46.7709502312549,2020-02-24T21:00:09Z,1464
10.1194224303766,46.7681352884004,2020-02-24T22:00:42Z,1383
10.1187703616451,46.7681644446129,2020-02-24T23:00:42Z,1384
10.1192099497596,46.7670769294264,2020-02-25T00:00:08Z,1406
10.1225555005387,46.7642310986921,2020-02-25T01:00:42Z,1493
10.1239478813369,46.7632301966258,2020-02-25T02:00:57Z,1551
10.1239372983048,46.7632932430558,2020-02-25T03:00:10Z,1551
10.1240274826903,46.7632728602022,2020-02-25T04:00:42Z,1553
10.1238650604194,46.7632706035939,2020-02-25T05:00:57Z,1551
10.1247779431281,46.7631953775899,2020-02-25T06:00:11Z,1560
10.1262885227518,46.7633363888407,2020-02-25T07:00:42Z,1576
10.1285158993055,46.7627916189782,2020-02-25T08:00:42Z,1622
10.1283663565956,46.7628559827843,2020-02-25T09:00:41Z,1622
10.1284583884984,46.7629584200775,2020-02-25T10:00:42Z,1622
10.1284818531179,46.7628202957801,2020-02-25T11:00:42Z,1622
10.1281850922974,46.7629631692772,2020-02-25T12:00:18Z,1622
10.1281846411537,46.7629809755147,2020-02-25T13:00:41Z,1580
10.1261021846183,46.7635655325251,2020-02-25T14:01:16Z,1535
10.1261095532611,46.7637595904514,2020-02-25T15:00:42Z,1535
10.1246049359119,46.7642865158836,2020-02-25T16:00:11Z,1489
10.1244530919685,46.7643259402799,2020-02-25T17:00:42Z,1489
10.124428249144099,46.7634578769912,2020-02-25T18:00:41Z,1553
10.1244655190736,46.7637096007903,2020-02-25T19:00:20Z,1527
10.1244259485731,46.7634575876268,2020-02-25T20:00:43Z,1553
10.1244788632197,46.7634565426316,2020-02-25T21:00:18Z,1553
10.1173148111838,46.7682151030439,2020-02-25T22:00:42Z,1383
10.115979764234,46.7688797063376,2020-02-25T23:00:42Z,1408
10.1153251471399,46.7706026860943,2020-02-26T00:00:14Z,1444
10.1190332482945,46.7671892977688,2020-02-26T01:00:15Z,1393
10.1184410602674,46.7668902216471,2020-02-26T02:00:41Z,1407
10.1169211011305,46.7646403266847,2020-02-26T03:00:07Z,1486
10.1172357802844,46.7649195816875,2020-02-26T04:00:22Z,1459
10.1171055485944,46.7649213705782,2020-02-26T05:00:42Z,1459
10.121494953374,46.763335307943,2020-02-26T06:00:17Z,1548
10.1236492671978,46.7630885227969,2020-02-26T07:00:36Z,1551
10.1248230324125,46.7627624293758,2020-02-26T08:02:09Z,1592
10.127294729286,46.7624430863382,2020-02-26T09:00:37Z,1627
10.1272496307216,46.7620952010428,2020-02-26T10:00:15Z,1669
10.1273945673828,46.7623998920411,2020-02-26T11:00:42Z,1627
10.1284509355752,46.7619835419577,2020-02-26T12:00:19Z,1666
10.1283819193089,46.7620503301307,2020-02-26T13:01:02Z,1666
10.1283713379394,46.7619408813459,2020-02-26T14:00:42Z,1666
10.1271451742081,46.7621855700509,2020-02-26T15:00:14Z,1669
10.1266279769523,46.7613280092162,2020-02-26T16:00:44Z,1697
10.1225925063759,46.7606272698283,2020-02-26T17:00:42Z,1659
10.1203006842092,46.7613455214117,2020-02-26T18:01:12Z,1598
10.1206488916944,46.7622946166168,2020-02-26T19:00:42Z,1582
10.1205858602176,46.7622792939754,2020-02-26T20:00:42Z,1582
10.1205918445904,46.7622957569888,2020-02-26T21:00:42Z,1582
10.1205651634848,46.7624060637141,2020-02-26T22:00:13Z,1559
10.1224847318212,46.7626503334932,2020-02-26T23:00:14Z,1574
10.1220112486098,46.7629625537094,2020-02-27T00:00:41Z,1573
10.1183964193004,46.7669080174244,2020-02-27T01:00:13Z,1407
10.1182238833221,46.7668400913939,2020-02-27T02:00:15Z,1407
10.1185685205176,46.7669182738589,2020-02-27T03:00:42Z,1407
10.1179689645108,46.76667926223,2020-02-27T04:00:13Z,1407
10.1146857814575,46.7642401061481,2020-02-27T05:00:42Z,1460
10.1162949641361,46.7639248238255,2020-02-27T06:00:42Z,1503
10.1162342330324,46.7639097871422,2020-02-27T07:00:16Z,1503
10.1180839670883,46.7639823870207,2020-02-27T08:00:42Z,1510
10.1180577222285,46.7639901768625,2020-02-27T09:00:13Z,1510
10.1179951678013,46.7639139194716,2020-02-27T10:00:42Z,1510
10.1180545119879,46.76388227025,2020-02-27T11:00:14Z,1510
10.1185776781016,46.7639200715617,2020-02-27T12:00:42Z,1506
10.1212938179125,46.7640434244628,2020-02-27T13:01:30Z,1523
10.1232912590821,46.7640273287021,2020-02-27T14:00:18Z,1529
10.1226024623253,46.7637176682169,2020-02-27T15:00:42Z,1529
10.122570711862,46.7636788676998,2020-02-27T16:00:14Z,1529
10.1243145933601,46.7640630230893,2020-02-27T17:01:05Z,1527
10.1238356117181,46.7631828077548,2020-02-27T18:00:41Z,1551
10.1236133732448,46.7631684062092,2020-02-27T19:00:44Z,1551
10.1234228765004,46.7634407653251,2020-02-27T20:00:35Z,1552
10.1239934331747,46.7632953755426,2020-02-27T21:00:40Z,1551
10.1238609164835,46.7634570539608,2020-02-27T22:00:42Z,1551
10.1237274804988,46.7634987943455,2020-02-27T23:00:42Z,1551
10.1196407448627,46.7625675882941,2020-02-28T00:00:15Z,1535
10.1226811727777,46.7631321534735,2020-02-28T01:00:42Z,1554
10.1224515848138,46.7629360139768,2020-02-28T02:00:42Z,1574
10.1195040989421,46.762507578823,2020-02-28T03:00:13Z,1535
10.1196181906062,46.7625669060657,2020-02-28T04:00:42Z,1535
10.1194507053011,46.7626249955199,2020-02-28T05:00:19Z,1535
10.119577240727,46.762625515791,2020-02-28T06:00:42Z,1535
10.1204014766703,46.7611127120223,2020-02-28T07:00:19Z,1620
10.1220753170853,46.7608877510702,2020-02-28T08:02:02Z,1646
10.121961671059,46.7613419736122,2020-02-28T09:00:42Z,1618
10.1219777702913,46.7615842611569,2020-02-28T10:00:42Z,1618
10.123701376937,46.7589172070076,2020-02-28T11:00:42Z,1780
10.1238002939489,46.7588218532396,2020-02-28T12:00:14Z,1823
10.1236507681332,46.7589493378703,2020-02-28T13:00:41Z,1780
10.1239516518772,46.7589049470927,2020-02-28T14:00:12Z,1780
10.1268095994529,46.7595659875455,2020-02-28T15:00:42Z,1801
10.1255890871057,46.7614711720668,2020-02-28T16:00:42Z,1682
10.1261232552997,46.7613418408974,2020-02-28T17:00:42Z,1691
10.1247687355942,46.7615062924931,2020-02-28T18:00:35Z,1671
10.1246960404877,46.7614152111594,2020-02-28T19:00:42Z,1671
10.124719045396,46.7614550638269,2020-02-28T20:00:42Z,1671
10.1243620120243,46.7611877682413,2020-02-28T21:00:42Z,1698
10.123895016577,46.7612630169304,2020-02-28T22:00:13Z,1651
10.1240178572465,46.7612858478208,2020-02-28T23:00:42Z,1651
10.1240224579267,46.7613233894527,2020-02-29T00:00:12Z,1651
10.124000373827,46.7613541886381,2020-02-29T01:00:42Z,1651
10.1240215386351,46.7613636288269,2020-02-29T02:00:42Z,1651
10.1236198798985,46.7611942133059,2020-02-29T03:00:12Z,1687
10.1236764672821,46.7612047110099,2020-02-29T04:00:16Z,1651
10.1229831201828,46.7606911931872,2020-02-29T05:01:42Z,1673
10.1239769086663,46.7613259776339,2020-02-29T06:00:13Z,1651
10.1239198578786,46.7613517637817,2020-02-29T07:00:41Z,1651
10.1238973118429,46.7614742926155,2020-02-29T08:00:42Z,1651
10.1239460805709,46.7613886299687,2020-02-29T09:00:12Z,1651
10.1236737043808,46.7613639190832,2020-02-29T10:01:29Z,1651
10.1248685798217,46.7620098177893,2020-02-29T11:00:43Z,1633
10.1251013954198,46.7622707287113,2020-02-29T12:00:52Z,1633
10.125718405029,46.762478314881,2020-02-29T13:00:42Z,1606
10.1257289872726,46.7624830344526,2020-02-29T14:00:10Z,1606
10.1255481612341,46.7623182946646,2020-02-29T15:01:00Z,1647
10.1225487240988,46.7620170828779,2020-02-29T16:00:42Z,1600
10.1222652338477,46.7629911174622,2020-02-29T17:00:42Z,1554
10.1191432258797,46.7672240802659,2020-02-29T18:00:16Z,1393
10.1193081853946,46.7695852919417,2020-02-29T19:00:43Z,1417
10.1179101762115,46.769270474399,2020-02-29T20:00:42Z,1404
10.1177141627659,46.7691496945652,2020-02-29T21:00:15Z,1404
10.1189533795048,46.7696955828804,2020-02-29T22:00:42Z,1417
10.1177131616429,46.7698829882256,2020-02-29T23:00:15Z,1423
10.1204470876709,46.7701983446227,2020-03-01T00:00:42Z,1423
10.1154393038545,46.7706050124051,2020-03-01T01:00:19Z,1444
10.1185842606535,46.7703101601921,2020-03-01T02:00:42Z,1441
10.1182634490124,46.7668641714799,2020-03-01T03:00:16Z,1407
10.1177526557389,46.7668491935379,2020-03-01T04:00:08Z,1407
10.1172308438194,46.7667102224107,2020-03-01T05:00:36Z,1403
10.1164383988934,46.7646664487358,2020-03-01T06:00:42Z,1486
10.1165023919841,46.7646399945562,2020-03-01T07:00:14Z,1486
