Longitude,Latitude,Time,Temperature,elevation
10.1944418,46.6452789,2019-06-16T14:00:35Z,22,2108
10.1944418,46.6452789,2019-06-16T18:01:10Z,13,2108
10.2084019,46.6642012,2019-06-16T20:01:06Z,10,1791
10.2079349,46.663412,2019-06-16T22:00:33Z,6.5,1787
10.1852689,46.6411043,2019-06-17T02:00:35Z,19.5,1847
10.1856808,46.6413639,2019-06-17T06:00:55Z,22,1863
10.1856808,46.6413639,2019-06-17T10:01:10Z,25,1863
10.1854545,46.6410296,2019-06-17T14:00:36Z,26.5,1847
10.1854116,46.6410644,2019-06-17T18:00:33Z,16.5,1847
10.1852752,46.6411031,2019-06-17T20:00:12Z,21.5,1847
10.1852959,46.6410995,2019-06-17T22:00:33Z,21,1847
10.2038426,46.6485874,2019-06-18T02:01:01Z,8,2315
10.185346,46.6410974,2019-06-18T06:00:35Z,24.5,1847
10.185346,46.6410974,2019-06-18T10:01:10Z,18.5,1847
10.1897898,46.6375169,2019-06-18T14:00:33Z,25.5,1853
10.208668,46.6643201,2019-06-18T18:00:33Z,11.5,1793
10.2101647,46.6636767,2019-06-18T20:00:10Z,12,1795
10.1779444,46.6548039,2019-06-18T22:00:57Z,11.5,1756
10.185325,46.6411434,2019-06-19T02:01:00Z,10,1847
10.185325,46.6411434,2019-06-19T06:01:10Z,14,1847
10.1901768,46.642184,2019-06-19T10:01:07Z,28.5,2001
10.1854301,46.6411159,2019-06-19T14:00:35Z,29.5,1847
10.209667,46.662519,2019-06-19T18:01:10Z,14,1806
10.2081653,46.6632773,2019-06-19T20:00:33Z,9.5,1789
10.1902191,46.6555258,2019-06-19T22:01:10Z,9,1755
10.1853134,46.6409939,2019-06-20T02:00:33Z,25.5,1847
10.1853612,46.6411027,2019-06-20T06:00:34Z,22.5,1847
10.1853612,46.6411027,2019-06-20T10:01:10Z,22,1847
10.1854624,46.6411257,2019-06-20T14:01:06Z,29,1847
10.1853203,46.6410935,2019-06-20T18:01:03Z,24,1847
10.196421,46.6148452,2019-06-20T20:00:42Z,20.5,2192
10.196421,46.6148452,2019-06-20T22:01:10Z,6,2192
10.2105312,46.6546065,2019-06-21T02:01:09Z,7.5,2102
10.1837584,46.6465737,2019-06-21T06:01:09Z,19.5,1905
10.188682,46.6419382,2019-06-21T10:01:06Z,23,1954
10.1853273,46.641119,2019-06-21T14:00:34Z,24,1847
10.1852993,46.6411457,2019-06-21T18:01:09Z,15.5,1847
10.1850936,46.6411642,2019-06-21T20:00:51Z,22,1847
10.185439,46.6410604,2019-06-21T22:00:35Z,19.5,1847
10.1966797,46.6292129,2019-06-22T02:00:38Z,24.5,1752
10.1852429,46.641118,2019-06-22T06:00:33Z,14.5,1847
10.1852429,46.641118,2019-06-22T10:01:10Z,29,1847
10.185547,46.6405721,2019-06-22T14:01:05Z,19.5,1858
10.1851664,46.6410158,2019-06-22T18:00:33Z,16.5,1847
10.1850913,46.6409726,2019-06-22T20:00:37Z,23,1847
10.1851747,46.6408968,2019-06-22T22:01:03Z,19.5,1839
10.1852208,46.6411057,2019-06-23T02:00:59Z,20,1847
10.1851744,46.6409884,2019-06-23T06:01:10Z,24.5,1847
10.1851744,46.6409884,2019-06-23T10:01:10Z,17.5,1847
10.1859879,46.6408835,2019-06-23T14:00:34Z,24,1858
10.2065886,46.662903,2019-06-23T18:00:33Z,11,1785
10.1904107,46.6586576,2019-06-23T20:00:18Z,10,1904
10.1904107,46.6586576,2019-06-23T22:01:10Z,9.5,1904
10.1904107,46.6586576,2019-06-24T02:01:10Z,9.5,1904
10.1850228,46.6407998,2019-06-24T06:00:35Z,24,1839
10.1851648,46.6411469,2019-06-24T10:00:33Z,31,1847
10.1851463,46.6411263,2019-06-24T14:00:35Z,30,1847
10.1856242,46.6408242,2019-06-24T18:00:33Z,27.5,1858
