Product Type: Litetrack Iridium-150
Product ID: 91038
Firmware Version: V8.92.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites
16.06.2019 04:00:58,46.6410775,10.1854561,1923.45,59,23.0,1.2,6
16.06.2019 08:00:33,46.6410894,10.1852923,1911.20,34,19.0,2.2,5
16.06.2019 12:01:06,46.6410979,10.1855873,1885.56,70,27.5,6,4
16.06.2019 16:00:35,46.6452789,10.1944418,2160.36,36,22.0,2,5
16.06.2019 20:01:10,0.0000000,0.0000000,0.00,70,13.0,0,0
16.06.2019 22:01:06,46.6642012,10.2084019,1839.60,67,10.0,1.6,6
17.06.2019 00:00:33,46.6634120,10.2079349,1846.78,34,6.5,1,7
17.06.2019 04:00:35,46.6411043,10.1852689,1911.01,36,19.5,2.2,5
17.06.2019 08:00:55,46.6413639,10.1856808,1792.98,56,22.0,2.6,5
17.06.2019 12:01:10,0.0000000,0.0000000,0.00,70,25.0,0,0
17.06.2019 16:00:36,46.6410296,10.1854545,1894.10,37,26.5,2.2,5
17.06.2019 20:00:33,46.6410644,10.1854116,1916.58,35,16.5,1.2,8
17.06.2019 22:00:12,46.6411031,10.1852752,1874.00,14,21.5,4,4
18.06.2019 00:00:33,46.6410995,10.1852959,1918.39,35,21.0,1.4,6
18.06.2019 04:01:01,46.6485874,10.2038426,2347.99,62,8.0,3,5
18.06.2019 08:00:35,46.6410974,10.1853460,1911.74,36,24.5,2.2,5
18.06.2019 12:01:10,0.0000000,0.0000000,0.00,70,18.5,0,0
18.06.2019 16:00:33,46.6375169,10.1897898,0.33,70,25.5,2.2,3
18.06.2019 20:00:33,46.6643201,10.2086680,1836.75,35,11.5,1,7
18.06.2019 22:00:10,46.6636767,10.2101647,1836.89,15,12.0,3.6,3
19.06.2019 00:00:57,46.6548039,10.1779444,1777.97,59,11.5,2.6,5
19.06.2019 04:01:00,46.6411434,10.1853250,1913.78,61,10.0,3,5
19.06.2019 08:01:10,0.0000000,0.0000000,0.00,70,14.0,0,0
19.06.2019 12:01:07,46.6421840,10.1901768,1544.58,70,28.5,3.8,4
19.06.2019 16:00:35,46.6411159,10.1854301,1911.17,37,29.5,1.2,6
19.06.2019 20:01:10,46.6625190,10.2096670,1860.73,70,14.0,2.4,4
19.06.2019 22:00:33,46.6632773,10.2081653,1844.42,35,9.5,1.6,6
20.06.2019 00:01:10,46.6555258,10.1902191,1764.09,70,9.0,13.2,4
20.06.2019 04:00:33,46.6409939,10.1853134,1903.35,35,25.5,3,5
20.06.2019 08:00:34,46.6411027,10.1853612,1911.19,36,22.5,1.2,7
20.06.2019 12:01:10,0.0000000,0.0000000,0.00,70,22.0,0,0
20.06.2019 16:01:06,46.6411257,10.1854624,1892.26,68,29.0,8,5
20.06.2019 20:01:03,46.6410935,10.1853203,1910.77,66,24.0,2.8,5
20.06.2019 22:00:42,46.6148452,10.1964210,0.07,44,20.5,15.2,3
21.06.2019 00:01:10,0.0000000,0.0000000,0.00,70,6.0,0,0
21.06.2019 04:01:09,46.6546065,10.2105312,2168.59,70,7.5,3,4
21.06.2019 08:01:09,46.6465737,10.1837584,0.03,70,19.5,2.6,3
21.06.2019 12:01:06,46.6419382,10.1886820,1652.90,70,23.0,3.8,4
21.06.2019 16:00:34,46.6411190,10.1853273,1909.47,31,24.0,1.4,6
